5 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
14 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
11 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
1 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
5 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
6 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
4 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
4 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
18 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
5 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
6 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
12 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
10 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
10 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
10 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
10 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
4 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
8 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
20 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
10 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
1 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
18 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
10 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
10 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
18 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
10 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
10 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
10 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
10 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
10 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
10 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
14 1:-1.33518139872 2:-0.509203839639 3:-0.53594973883 4:0.135977908157 5:-1.61813382782 6:-0.107155614112 7:-0.0450592885375 8:0.135977908157 9:-0.645256821937
